Sat Apr 12 15:55:56 2025    profiling-http.prof

         814366 function calls (782130 primitive calls) in 1.393 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      736    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      712    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      142    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       72    0.000    0.000    0.001    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/_config/config.py:491(register_option)
        1    0.000    0.000    0.002    0.002 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/requests/packages.py:1(<module>)
        5    0.000    0.000    0.001    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/yfinance/utils.py:1007(generate_list_table_from_dict_universal)
  277/222    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1573(__hash__)
      398    0.000    0.000    0.001    0.000 /usr/lib/python3.12/inspect.py:2712(__init__)
       77    0.000    0.000    0.003    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/soupsieve/css_parser.py:462(parse_attribute_selector)
     1209    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      243    0.000    0.000    0.031    0.000 /usr/lib/python3.12/re/_compiler.py:573(_code)
       81    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
     1799    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      745    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
     1577    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      998    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      712    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
     1552    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       21    0.000    0.000    0.001    0.000 /usr/lib/python3.12/inspect.py:2366(_signature_from_function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/json/decoder.py:343(raw_decode)
       50    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1047(_generic_class_getitem)
       47    0.000    0.000    0.011    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/indexing.py:2179(_setitem_single_block)
     1088    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1565(__eq__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/html/entities.py:1(<module>)
      727    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
  288/227    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:436(_get_literal_prefix)
    56/15    0.000    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:1328(_make_substitution)
  668/562    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1258(__hash__)
     1310    0.000    0.000    0.001    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
      650    0.000    0.000    0.005    0.000 /usr/lib/python3.12/re/__init__.py:179(sub)
       92    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:361(_flatten_literal_params)
       51    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/internals/blocks.py:1373(setitem)
     3023    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.003    0.003 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/ma/core.py:1(<module>)
      720    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1598(_value_and_type_iter)
      243    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      297    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:2476(overload)
      412    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:265(getwhile)
     1933    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
     1011    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1129(__new__)
      741    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      736    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
       24    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
     1310    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/dtypes/generic.py:37(_check)
       47    0.000    0.000    0.011    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/indexing.py:1785(_setitem_with_indexer)
      555    0.000    0.000    0.000    0.000 /usr/lib/python3.12/functools.py:65(wraps)
      741    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       17    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/dtypes/generic.py:36(create_pandas_abc_type)
        1    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/idna/idnadata.py:1(<module>)
      460    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
     1149    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1252(__eq__)
      248    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:86(opengroup)
       47    0.000    0.000    0.012    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/indexing.py:882(__setitem__)
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       81    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      737    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      136    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/soupsieve/css_parser.py:359(__init__)
       81    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       19    0.000    0.000    0.002    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/util/_decorators.py:294(decorate)
      162    0.000    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:885(__init__)
     1918    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:774(<genexpr>)
  136/131    0.000    0.000    0.002    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/soupsieve/css_parser.py:385(freeze)
