Sat Apr 12 15:55:56 2025    profiling-http.prof

         814366 function calls (782130 primitive calls) in 1.393 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/__init__.py:164(match)
      297    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:2476(overload)
  288/227    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:436(_get_literal_prefix)
      282    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      282    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_compiler.py:386(_mk_bitmap)
  277/222    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1573(__hash__)
  274/241    0.000    0.000    0.013    0.000 /usr/lib/python3.12/typing.py:508(__getitem__)
      273    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/soupsieve/css_parser.py:334(match)
      270    0.001    0.000    0.008    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/util/_decorators.py:363(decorator)
      270    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/util/_decorators.py:343(doc)
      265    0.001    0.000    0.005    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/_core/overrides.py:142(decorator)
      265    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/construction.py:416(extract_array)
